,Equity,KCB,UCHUMI,BAMBURI,BAT,SASINI,SAFAR,NMG,EABL,SCB,MARKET
19,1.0292909937,1.13605255954,0.391459074733,1.72187243362,1.68902272105,0.396934026827,0.993703805092,0.851355050643,0.506433068711,1.28387626608,3.653
20,1.04105178428,1.1778910652,0.423933458546,1.7064663268,1.65548698685,0.394419103837,0.973973705393,0.847866917091,0.528575261605,1.25033539039,3.727
21,1.04978354978,1.06060606061,0.427489177489,1.7316017316,1.66937229437,0.424783549784,0.992965367965,0.86038961039,0.524891774892,1.25811688312,3.696
22,1.08246038141,1.05291431641,0.448562986839,1.7190437819,1.65995165189,0.41095890411,0.977706150954,0.862207896857,0.526457158206,1.25973677142,3.723
23,0.899672846238,1.00872410033,0.665212649945,1.63849509269,1.68211559433,0.419847328244,1.00054525627,0.880588876772,0.534351145038,1.27044711014,3.668
24,0.925429184549,1.01126609442,0.643776824034,1.68723175966,1.66040772532,0.421137339056,1.01394849785,0.869098712446,0.512339055794,1.25536480687,3.728
25,0.870261612387,1.08382274426,0.672717565403,1.70848905499,1.6150560598,0.4244527496,0.987720234917,0.859583555793,0.528563801388,1.24933262146,3.746
26,0.90859777597,1.08489286683,0.724165988609,1.68429617575,1.47545429889,0.425820450231,1.02793599132,0.884187686466,0.515324111744,1.26932465419,3.687
27,0.96739423336,1.08326596605,0.644031258421,1.70304500135,1.46591215306,0.452708164915,1.04554028564,0.90541632983,0.493128536783,1.2395580706,3.711
28,0.947368421053,1.07962213225,0.609986504723,1.69770580297,1.53576248313,0.442645074224,1.03913630229,0.877192982456,0.504723346829,1.26585695007,3.705
29,0.915721231767,1.19935170178,0.621285791464,1.71799027553,1.46137223123,0.432198811453,1.02106969206,0.858995137763,0.515937331172,1.25607779579,3.702
30,0.91400757166,1.17631151974,0.657111952407,1.7009194159,1.47106544078,0.438074634938,0.992428339643,0.878853434289,0.497566252028,1.27366143862,3.698
